title,budget,revenue,popularity,release_date,imdb_score,runtime,genres
The Basketball Diaries,0.0,0.0,7.415144,1995-04-21,,,
An Awfully Big Adventure,4000000.0,851545.0,0.922958,1995-07-21,,,
Amateur,0.0,0.0,1.759012,1994-08-05,5.9,96.0,
Apollo 13,52000000.0,355237933.0,18.761467,1995-06-30,,,
Rob Roy,28000000.0,31596911.0,10.193549,1995-04-13,,,
The Addiction,0.0,0.0,3.137285,1995-01-10,,,
Batman Forever,100000000.0,336529144.0,13.321354,1995-06-16,,,
Belle de Jour,0.0,0.0,10.142662,1967-05-24,,,
Beyond Rangoon,0.0,0.0,2.04189,1995-05-24,,,
Blue in the Face,2000000.0,1275000.0,11.528147,1995-09-15,,,
Canadian Bacon,11000000.0,178104.0,5.391556,1995-06-08,,,
Casper,50000000.0,287928194.0,12.812539,1995-05-26,,,
Clockers,25000000.0,13071518.0,4.558992,1995-09-15,,,
Congo,50000000.0,152022101.0,7.260574,1995-06-09,,,
Crimson Tide,53000000.0,157387195.0,8.657365,1995-05-12,,,
Crumb,0.0,3174695.0,3.620388,1994-09-10,,,
Desperado,7000000.0,25405445.0,6.950458,1995-08-25,7.1,104.0,
Devil in a Blue Dress,27000000.0,16140822.0,4.646132,1995-09-15,,,
Die Hard: With a Vengeance,90000000.0,366101666.0,15.138855,1995-05-19,,,
The Doom Generation,0.0,0.0,7.120806,1995-10-27,,,
Feast of July,0.0,0.0,0.523575,1995-10-12,,,
First Knight,55000000.0,127600435.0,15.178338,1995-07-07,,,
Free Willy 2 - The Adventure Home,0.0,0.0,7.575098,1995-07-19,,,
Hackers,20000000.0,7563728.0,14.810519,1995-09-14,,,
Jeffrey,0.0,0.0,3.196456,1995-08-18,,,
Johnny Mnemonic,25000000.0,19075720.0,11.715868,1995-05-26,5.6,97.0,
Judge Dredd,90000000.0,113493481.0,8.184815,1995-06-30,,,
Jury Duty,0.0,17014653.0,3.676921,1995-04-12,,,
Kids,1500000.0,7412216.0,4.877872,1995-07-28,,,
Living in Oblivion,500000.0,1148752.0,10.058329,1995-01-20,,,
Lord of Illusions,0.0,0.0,4.102409,1995-08-25,,,
Love & Human Remains,0.0,0.0,0.354014,1993-05-20,,,
Mad Love,0.0,15453274.0,2.624771,1995-05-26,,,
Mallrats,6000000.0,2122561.0,8.25547,1995-10-20,,,
Mighty Morphin Power Rangers: The Movie,15000000.0,66000000.0,7.024227,1995-06-30,,,
Moonlight and Valentino,0.0,0.0,1.01115,1995-09-29,,,
Mute Witness,2.0,1.0,2.466066,1995-09-28,,,
Nadja,0.0,0.0,7.720056,1994-09-13,,,
The Net,22000000.0,110627965.0,13.304342,1995-07-28,5.9,114.0,
Nine Months,0.0,69660733.0,8.482834,1995-07-12,,,
Party Girl,150000.0,472370.0,1.165039,1995-06-09,,,
